,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
28,2024-07-31,2714300.108748668,1275969.241755104,2519158.0654520784,2450515.4604202993,2969138.3085558126,-546031.4600659594,-995188.8011587617,-89759.01638929498,77533.23705453512,-310898.77667860873,391361.1116681226,-623564.6971204944,-1205204.6033799294,-44144.10903894163,0.0,0.0,0.0,2168268.6486827084
29,2024-08-31,2704478.427536866,1627960.1325544948,2487996.903608086,2430413.575131778,2956560.146000131,-555229.5050229263,-1062237.9070685143,-124148.12668953017,76439.62279404375,-298256.09772816405,523805.2188748879,-631669.12781697,-1351306.1086628162,137492.56419240893,0.0,0.0,0.0,2149248.92251394
30,2024-09-30,2694973.5747512514,-95694.94850688221,1603064.43325707,2409418.850798276,2935906.1609307877,-1595564.3389995568,-2299951.7531467862,-1042388.7381723312,-489096.7083166549,-943958.6549185475,63845.498800321,-1106467.630682902,-1980554.060014493,-428719.2416311902,0.0,0.0,0.0,1099409.2357516945
31,2024-10-31,2685151.89353945,2359478.5600699424,4557749.894808052,2387638.020095827,2915460.8551693987,933891.5846936973,-251787.2096212067,1952157.3886663117,42315.80009595311,-299087.2689360678,283786.72324007255,891575.784597744,-168867.86278745695,1900112.4781980994,0.0,0.0,0.0,3619043.4782331474
32,2024-11-30,2675647.040753836,1633780.3388463324,3908430.4717584006,2368164.512991063,2918746.6911691683,365879.9910584368,-931491.2232466158,1086785.4834206642,76439.62279576322,-298256.0977267438,523805.2188763609,289440.36826267344,-743713.6818817253,1015959.1847464534,0.0,0.0,0.0,3041527.0318122725
33,2024-12-31,2665825.359542034,1001258.4440226383,4387170.003511849,2348180.825933022,2936229.681294618,-366275.025963043,-1750131.867004064,1156361.6930268724,212388.01512752805,-2819.450703042461,473934.5489227063,-578663.0410905711,-1979083.7034857466,685648.701523074,0.0,0.0,0.0,2299550.3335789912
34,2025-01-31,2656003.6783302324,1255250.6365448288,2749594.727803282,2312378.504262032,2951376.7523137303,-891918.6748400324,-1732661.6457886754,-139787.27328483737,471323.6173861615,90375.76729056744,775309.4928286966,-1363242.292226194,-2218780.7278002547,-547169.9988600598,0.0,0.0,0.0,1764085.0034902
35,2025-02-28,2647132.4823969924,2418060.342547027,3655468.536902057,2279332.2325945618,2964119.4970216053,316453.8758136483,-147525.64808374966,573450.4960799662,471323.6173864972,90375.7672924629,775309.4928320695,-154869.7415728489,-515636.6051855212,141928.0905163282,0.0,0.0,0.0,2963586.3582106405
36,2025-03-31,2637310.8011851907,1481059.700834082,2721333.4137222525,2255490.7762755365,2971787.279433394,-522952.40077802225,-831034.4262244102,128517.2869085558,-489096.70831697306,-943958.654919219,63845.498800385554,-33855.692461049184,-327918.3077120543,294836.12565194926,0.0,0.0,0.0,2114358.4004071685
37,2025-04-30,2627805.9483995764,1962759.9447224038,3439092.173246918,2235104.6345206276,2979786.4737355346,-12499.190040810889,-832967.8683091651,385672.89284151816,77533.23705513348,-310898.77667802735,391361.11166826746,-90032.42709594437,-459666.7271133518,351449.7649910698,0.0,0.0,0.0,2615306.7583587654
38,2025-05-31,2617984.2671877746,1524993.0783292414,2987676.7845225064,2194363.392588867,2985926.6046456625,-312571.8573069755,-679865.0913445727,312904.0718911694,76439.6227961772,-298256.09772647015,523805.2188770757,-389011.48010315263,-630722.287329973,33984.26625177535,0.0,0.0,0.0,2305412.4098807992
39,2025-06-30,2608479.4144021603,1728064.105259188,3267375.4619832505,2191045.682725679,2991122.971356759,-397808.7915398401,-888632.2982098258,147790.02857301795,-489096.70831618726,-943958.65491753,63845.4988005704,91287.91677634719,-192076.9276353647,318126.4596362143,0.0,0.0,0.0,2210670.6228623204
40,2025-07-31,2598657.733190359,1808530.5471503045,3070783.1954661915,2152462.7418342642,2995791.0036782734,-309730.63896814286,-714087.1016782694,209687.99634980664,42315.80009535289,-299087.26893694676,283786.7232390889,-352046.4390634958,-627529.7948880253,46459.59371770556,0.0,0.0,0.0,2288927.0942222164
41,2025-08-31,2588836.051978557,924571.1984626886,2381580.4933573506,2102617.295631137,2994228.4776535514,-954846.0408834324,-1678965.3203388439,-318189.699300184,-390903.58414302673,-491115.32240550267,-46298.566548757204,-563942.4567404054,-1000249.9265533234,-40760.543193472615,0.0,0.0,0.0,1633990.0110951245
