pickup_datetime,passenger_count,trip_distance,total_amount,duration,n_trips
2022-09-06,110106,141673.03,1250037.16,983177.3333333334,81644
2022-09-07,130652,174697.14,1523499.99,1214164.7333333334,97292
2022-09-08,135082,179867.19,1578360.76,1279902.9,99622
2022-09-09,139644,187548.1,1592535.68,1262145.3666666667,101322
2022-09-10,138620,185535.42,1492710.78,1181871.0,95058
2022-09-11,114294,158232.53,1213358.34,894771.1833333333,79944
2022-09-12,119165,161373.69,1369143.74,1055489.7166666666,88954
2022-09-13,129409,175256.35,1547394.57,1237980.5833333333,98416
2022-09-14,132266,180336.79,1576621.62,1259544.5166666666,99716
2022-09-15,136054,187975.3,1626474.55,1297496.2666666666,102765
2022-09-16,140655,187216.6,1595591.83,1263606.25,101574
2022-09-17,69591,99780.17,763433.98,559447.8,49765
2022-09-18,4515,9642.36,79765.21,56612.28333333333,4174
2022-09-19,110944,147566.01,1280342.33,1000315.8833333332,82982
2022-09-20,107579,140875.7,1269216.49,1014843.1166666668,80742
2022-09-21,100180,129842.21,1185567.02,952487.55,75548
2022-09-22,111352,146136.0,1303826.66,1024116.5,83712
2022-09-23,131023,171755.03,1473658.49,1145560.7333333334,95049
2022-09-24,141324,187717.13,1498019.2,1156995.7666666666,97138
2022-09-25,112740,153462.25,1170352.8,838051.0166666667,78566
2022-09-26,109116,144401.05,1156092.91,820325.0333333333,78511
2022-09-27,126480,173663.78,1432924.46,1062390.15,94250
2022-09-28,134002,180647.27,1576667.21,1245652.0,100636
2022-09-29,137260,183712.34,1619849.25,1300200.2833333334,102364
2022-09-30,139621,184385.94,1569973.61,1228031.7166666666,100891
2022-10-01,144260,186714.56,1504981.51,1143662.0,99458
2022-10-02,107591,141873.43,1101897.02,805843.3666666667,74864
2022-10-03,119434,155522.88,1348667.04,1033043.3666666668,89781
2022-10-04,121422,157414.27,1391859.57,1080195.1166666667,91186
2022-10-05,132371,173398.54,1459456.57,1074351.8,97130
2022-10-06,130166,173912.63,1541292.13,1241692.05,97654
2022-10-07,138371,181934.45,1570328.5,1246486.2666666666,99854
2022-10-08,146357,189858.77,1546443.89,1210090.75,99808
2022-10-09,108553,146667.42,1141518.18,853093.8666666667,74494
2022-10-10,102944,138885.99,1080361.88,775615.4166666666,73965
2022-10-11,130253,175922.22,1505654.13,1167211.1,96942
2022-10-12,135659,181490.81,1586004.46,1259965.4666666666,100890
2022-10-13,137534,181387.87,1624779.79,1313115.95,103212
2022-10-14,141952,186764.28,1604314.29,1268811.7,102782
2022-10-15,151167,200834.31,1614796.85,1266465.2333333334,103581
2022-10-16,122642,171914.44,1300946.86,954779.8666666668,85789
2022-10-17,122865,164270.81,1373512.63,1023034.6666666666,90865
2022-10-18,135643,182353.22,1584787.63,1237030.3833333333,101696
2022-10-19,138763,186278.84,1655491.38,1321991.5833333333,104804
2022-10-20,141526,190426.3,1673856.12,1337995.2833333334,106514
2022-10-21,144563,189656.43,1629928.32,1280312.6166666667,104492
2022-10-22,154815,208173.72,1654881.0,1281374.2833333334,106698
2022-10-23,119802,164672.07,1265352.82,924951.0833333334,83730
2022-10-24,122426,164126.24,1389530.11,1053778.933333333,91576
2022-10-25,134815,182082.37,1583029.9,1241199.7666666666,101710
