Fecha,Numero total de viajes,Numero total de pasajeros,Distancia total recorrida (mi),Ingreso total (USD),Duración total recorrido (min)
2022-10-24,91576,122426,164126.24,1389530.11,1053778.933333333
2022-10-25,101710,134815,182082.37,1583029.9,1241199.7666666666
2022-10-26,104270,138336,186601.94,1643415.29,1310095.7833333334
2022-10-27,105444,140337,187855.62,1670875.74,1354031.4666666666
2022-10-28,107361,148238,193293.87,1684972.93,1336778.2333333334
2022-10-29,105198,152829,201064.42,1643126.22,1284897.2666666666
2022-10-30,86247,123254,172113.94,1315751.52,967105.3
2022-10-31,83228,113650,148596.9,1244884.51,931268.2166666668
2022-11-01,98518,130299,177569.68,1532259.79,1195674.566666667
2022-11-02,103845,137002,186264.55,1629722.08,1297377.066666667
2022-11-03,106617,141710,190142.75,1679661.94,1348126.7833333334
2022-11-04,107946,149725,194994.28,1684284.22,1327939.85
2022-11-05,108685,159620,206149.82,1692059.74,1344112.6333333333
2022-11-06,81513,117912,160191.98,1226789.23,882306.2666666667
2022-11-07,90345,121573,163486.78,1381249.78,1056054.8666666667
2022-11-08,101528,133068,180416.33,1534662.81,1200650.7666666666
2022-11-09,104943,137981,185109.86,1652883.89,1323689.6166666667
2022-11-10,106320,141201,187767.3,1689627.3,1373806.0333333334
2022-11-11,92989,128139,163798.72,1433646.18,1144245.3
2022-11-12,108523,158014,204749.31,1686846.51,1326924.9166666667
2022-11-13,90372,127816,175614.71,1367734.26,1000394.4
2022-11-14,66074,90561,117884.41,1005049.91,768452.2
2022-11-15,73430,99292,127848.62,1147831.76,914940.45
2022-11-16,74492,101220,131607.45,1171920.96,929663.6333333332
2022-11-17,76297,103945,136650.02,1204382.4,958983.9166666666
2022-11-18,78214,109451,140861.12,1213748.74,947263.1833333332
2022-11-19,78033,114827,147776.47,1203073.81,929084.0333333332
2022-11-20,65190,94803,127269.9,978856.0,708673.0166666667
2022-11-21,89758,120948,155944.26,1361006.22,1052471.0333333334
2022-11-22,93573,126006,160578.18,1443480.87,1156043.2833333334
2022-11-23,87099,123635,151202.33,1323965.34,1034325.3333333334
2022-11-24,57750,86256,112957.77,844526.77,570413.5333333333
2022-11-25,72549,111028,133881.83,1079919.42,778023.0166666667
2022-11-26,79987,122073,151231.82,1203443.09,915327.6
2022-11-27,69718,100951,130330.26,1016518.45,733051.9166666666
2022-11-28,84094,111687,149086.54,1254781.76,934181.5166666668
2022-11-29,97125,127671,168871.01,1496929.03,1167895.2
2022-11-30,93606,122407,159493.89,1456304.62,1147935.15
2022-12-01,102671,136457,176489.79,1613793.25,1294734.933333333
2022-12-02,105811,148264,186718.22,1656100.79,1316487.15
2022-12-03,106308,157043,194381.73,1642213.14,1288723.683333333
2022-12-04,86749,125984,165830.94,1314796.42,971450.4666666668
2022-12-05,91409,122778,163481.18,1404601.0,1082111.05
2022-12-06,93784,123034,158652.94,1485153.87,1204737.9666666666
2022-12-07,97645,128768,171050.29,1552612.31,1246475.0333333334
2022-12-08,103274,136814,181264.21,1649384.98,1330684.0
2022-12-09,107911,149583,190623.34,1701469.54,1353573.816666667
2022-12-10,103725,151044,189635.2,1614236.06,1269055.1166666667
2022-12-11,84555,122343,158091.09,1277490.66,949897.6
2022-12-12,91190,122835,159574.59,1396083.18,1074960.85
2022-12-13,100745,133740,175814.5,1584845.66,1257425.4833333334
2022-12-14,104384,137615,182531.81,1648250.51,1313086.066666667
2022-12-15,103963,137644,178045.89,1642539.31,1318270.7666666666
2022-12-16,102750,141153,176920.47,1611446.46,1280002.683333333
2022-12-17,100403,147757,183125.88,1551406.35,1207684.6666666667
2022-12-18,80305,117359,155818.29,1224697.51,883088.3166666667
2022-12-19,93372,129293,162445.07,1788235.53,1038558.7
2022-12-20,96188,132483,165812.3,1905791.02,1143119.2833333334
2022-12-21,93053,128583,160978.41,1845390.62,1107032.933333333
2022-12-22,84536,117539,143168.66,1648552.65,982022.15
2022-12-23,80942,115255,137138.05,1542253.01,868691.7166666667
2022-12-24,64694,96846,109876.6,1149342.82,626905.65
2022-12-25,39655,60644,74714.06,733617.44,391923.85
2022-12-26,52593,81583,95218.86,993144.97,573942.5
2022-12-27,68036,101820,120466.09,1346689.32,793865.2666666667
2022-12-28,70500,105403,126277.89,1410945.12,834643.25
2022-12-29,74477,111847,134898.55,1496095.91,886575.4666666667
2022-12-30,73020,109354,133027.83,1460069.05,848036.4
2022-12-31,71013,106880,131504.56,1324878.87,723845.7833333333
2023-01-01,58452,89461,117601.06,1145978.1,623942.2
2023-01-02,50667,75092,94195.36,931015.99,500818.1
2023-01-03,69884,95056,122887.0,1341586.61,752742.8833333333
2023-01-04,79728,107328,142145.76,1566904.43,885341.65
2023-01-05,86052,116097,153632.09,1690826.06,953786.5833333334
2023-01-06,88665,122262,156674.02,1735846.23,977402.0833333334
2023-01-07,91070,133651,169572.74,1738184.85,975941.8166666668
2023-01-08,69036,99205,130270.77,1281371.56,677409.3833333333
2023-01-09,71669,93973,126368.61,1373447.86,745148.8166666667
2023-01-10,86250,112355,151919.86,1695890.11,955345.5666666668
2023-01-11,92488,121031,162680.81,1821572.55,1023045.4833333332
2023-01-12,94507,123468,165055.04,1887162.16,1088901.55
2023-01-13,93517,128628,164503.93,1845685.25,1044130.6
2023-01-14,97170,142833,178051.23,1879262.34,1079728.2166666666
2023-01-15,81036,118768,152600.82,1536344.48,835771.8666666667
2023-01-16,64647,89510,116488.36,1179536.14,631349.3333333334
2023-01-17,85066,109936,148650.72,1672626.58,943102.9833333332
2023-01-18,91144,118108,161519.89,1820593.57,1037487.5
2023-01-19,98281,127894,165500.96,1971102.11,1170287.6
2023-01-20,94372,127557,167359.8,1871408.16,1067909.3666666667
2023-01-21,98402,141962,183602.04,1898516.51,1078709.6333333333
2023-01-22,74100,105107,139881.55,1388733.62,745401.6333333333
2023-01-23,76603,99480,131182.43,1459935.24,799954.8666666667
2023-01-24,90098,116790,156696.43,1788175.51,1021767.1833333332
2023-01-25,95880,122982,160866.1,1897769.0,1098986.2333333334
2023-01-26,98328,127805,172267.74,1968788.3,1136663.9
2023-01-27,96121,130857,169046.44,1906878.98,1087456.2666666666
2023-01-28,97941,141607,181661.46,1911384.03,1114647.0833333333
2023-01-29,72934,102960,140149.64,1384971.5,752043.1666666666
2023-01-30,70599,91118,124280.98,1365219.59,751071.6333333333
2023-01-31,85721,110341,144817.93,1699847.08,984203.6166666668
2023-02-01,93735,120770,163903.97,1855497.17,1058758.316666667
2023-02-02,97924,127089,171422.62,1947423.25,1119722.4166666667
2023-02-03,100414,134196,170810.74,1956376.61,1108861.0333333334
2023-02-04,86029,123467,154087.74,1632349.59,934084.2333333332
2023-02-05,68831,97441,130816.11,1298820.67,710896.8833333333
2023-02-06,76714,99942,135652.78,1486134.46,821174.75
2023-02-07,92147,118884,160513.56,1825895.11,1046278.5
2023-02-08,93762,121442,165608.26,1880699.44,1087351.2833333334
2023-02-09,97793,126263,173178.86,1979170.99,1162055.4
2023-02-10,97541,132063,173061.9,1954393.45,1129971.316666667
2023-02-11,99041,143499,182396.77,1943471.63,1157952.3333333333
2023-02-12,78349,110603,150529.36,1476773.53,796465.2
2023-02-13,78565,103717,140634.24,1530054.15,849688.9666666667
2023-02-14,93329,124066,161142.68,1888504.87,1125653.8
2023-02-15,92979,121374,166362.84,1868491.76,1071533.55
2023-02-16,95810,123182,168204.67,1925806.79,1125300.95
2023-02-17,95188,130136,164138.5,1879511.62,1079715.05
2023-02-18,90668,133738,167892.51,1763940.49,1029793.3166666668
2023-02-19,74633,109218,143161.27,1435124.36,799122.1333333333
2023-02-20,63487,89001,118002.21,1161870.2,625254.3
2023-02-21,84498,111073,147176.18,1666048.53,949318.0166666668
2023-02-22,94228,124275,162003.63,1889287.04,1107316.3
2023-02-23,97733,128492,172537.8,1975594.55,1149176.1166666667
2023-02-24,99168,135137,172706.01,1969895.39,1129525.8
2023-02-25,98138,141577,179223.87,1902312.85,1103333.7
2023-02-26,73890,105093,141740.07,1403679.87,763054.4
2023-02-27,77960,101696,134694.9,1505733.84,834647.0666666667
2023-02-28,86458,112193,150145.73,1682083.91,932382.6333333332
2023-03-01,97696,126108,169912.84,1962006.79,1140641.183333333
2023-03-02,100543,130623,176189.45,2027987.76,1180664.6666666667
2023-03-03,99949,135624,172722.43,1976268.73,1132243.9
2023-03-04,98426,141936,178945.29,1907047.95,1113235.15
2023-03-05,78875,111701,149067.86,1501809.09,831981.1166666667
2023-03-06,77440,101647,133265.17,1510394.12,850093.0
2023-03-07,97838,127717,167264.61,1953003.87,1124042.7666666666
2023-03-08,99036,128727,169113.81,2004799.63,1179261.816666667
2023-03-09,102357,133358,177252.07,2070047.46,1214315.6333333333
2023-03-10,102890,139558,176207.35,2053517.36,1192548.566666667
2023-03-11,96744,140353,176336.15,1861582.18,1076189.0833333333
2023-03-12,76589,109885,145011.08,1445284.07,788177.9833333333
2023-03-13,83632,110775,140295.93,1626310.97,930672.7166666668
2023-03-14,92041,121216,156257.23,1815639.32,1037714.7166666668
2023-03-15,99345,130199,168965.76,2014443.81,1194116.5833333333
2023-03-16,101940,134401,176352.68,2086944.82,1250497.75
2023-03-17,91595,126215,159659.05,1849995.75,1078818.0333333334
2023-03-18,104031,151527,193503.64,2034094.08,1188091.816666667
2023-03-19,80028,114074,146130.06,1505170.19,834473.1
2023-03-20,73951,96940,129690.19,1430621.53,786243.4833333333
2023-03-21,85177,111145,149941.47,1703846.39,978170.8666666668
2023-03-22,88428,114576,155161.07,1783227.14,1028689.5333333332
2023-03-23,94360,123765,165450.46,1897312.02,1099753.65
2023-03-24,93073,127043,166533.34,1846764.63,1038924.0833333334
2023-03-25,100134,144882,180900.37,1922387.45,1112463.9666666666
2023-03-26,75109,108414,143869.84,1446841.25,810058.9833333333
2023-03-27,79620,105166,138252.24,1548764.48,855624.7166666667
2023-03-28,87102,113739,153540.94,1751457.83,1008581.7666666668
2023-03-29,92836,121448,163738.18,1873869.4,1082330.5166666666
2023-03-30,98572,129513,170724.88,1982985.65,1151984.85
2023-03-31,96221,131830,171292.5,1921398.08,1092417.6
2023-04-01,100331,145934,184410.89,1940971.4,1124584.1166666667
2023-04-02,80847,117488,152623.52,1536145.36,851539.25
2023-04-03,79801,107261,140533.61,1574986.3,896232.2833333333
2023-04-04,92293,123729,164032.16,1833584.34,1032573.3666666668
2023-04-05,97059,130372,164424.63,1952247.7,1155296.933333333
2023-04-06,90510,124535,161980.14,1802541.3,1021876.4833333332
2023-04-07,90421,130328,163840.12,1772838.99,977698.3666666668
2023-04-08,88415,132754,165689.51,1695321.07,967961.6333333332
2023-04-09,71798,106844,136935.85,1349074.94,737886.1166666667
2023-04-10,72803,99680,130973.01,1421755.93,790313.75
2023-04-11,87261,116682,155660.53,1755372.91,1008296.4333333332
2023-04-12,95285,127873,169787.8,1924018.41,1108046.2333333334
2023-04-13,101339,136543,180186.16,2065819.1,1207263.066666667
2023-04-14,103880,144837,186410.55,2092564.25,1194052.25
2023-04-15,99887,144762,186005.02,1963370.99,1147308.05
2023-04-16,78902,113859,151318.43,1502706.56,821532.5833333334
2023-04-17,78953,103515,139664.67,1545450.13,862326.5666666667
2023-04-18,94735,123280,162489.89,1910839.47,1122621.3833333333
2023-04-19,96757,125335,168248.59,1973380.62,1167824.05
2023-04-20,101461,133679,175868.35,2087269.12,1244563.8333333333
2023-04-21,97082,132671,177162.5,1941018.74,1083526.7833333334
2023-04-22,100687,145597,187078.32,1971246.39,1158536.6333333333
2023-04-23,76898,109205,146761.91,1477894.08,828414.7333333333
2023-04-24,80414,105489,141165.36,1605723.97,919922.65
2023-04-25,92471,120267,160103.03,1902654.84,1142206.066666667
2023-04-26,98634,127820,169880.64,2030184.2,1212208.2333333334
2023-04-27,100657,131915,173394.96,2080714.2,1252716.8
2023-04-28,102343,139095,173326.09,2069269.79,1229154.8833333333
2023-04-29,91340,130490,154334.37,1768561.18,1071495.35
2023-04-30,73811,104081,131733.29,1411966.92,816871.45
2023-05-01,78769,102358,137700.68,1571698.18,907526.55
2023-05-02,95125,122966,161077.2,1937057.35,1154918.8666666667
2023-05-03,98801,127477,168548.43,2019842.67,1202420.25
2023-05-04,104194,135277,177325.7,2144672.93,1292622.65
2023-05-05,101282,137464,178148.43,2054653.83,1202624.6666666667
2023-05-06,103697,149295,195070.06,2064922.61,1228473.433333333
2023-05-07,80484,114890,153424.54,1540570.31,853054.1666666666
2023-05-08,79900,104671,139998.38,1590810.86,908171.4
2023-05-09,95521,123746,164422.45,1951746.25,1154995.1333333333
2023-05-10,96990,125409,164782.94,2009830.44,1226451.1
2023-05-11,106317,138562,184751.53,2198186.66,1318267.4833333334
2023-05-12,102868,140121,177517.74,2086256.35,1235509.8
2023-05-13,102786,148590,188917.42,2034074.32,1222263.35
